交易日期,北向资金
20160704,1149000000
20160705,-158000000
20160706,-645000000
20160707,-211000000
20160708,-227000000
20160711,1549000000
20160712,1686000000
20160713,481000000
20160714,703000000
20160715,416000000
20160718,711000000
20160719,545000000
20160720,343000000
20160721,700000000
20160722,292000000
20160725,448000000
20160726,470000000
20160727,975000000
20160728,-566000000
20160729,85000000
20160801,1055000000
20160803,-168000000
20160804,-437000000
20160805,475000000
20160808,623000000
20160809,1292000000
20160810,1045000000
20160811,704000000
20160812,232000000
20160815,384000000
20160816,4686000000
20160817,1506000000
20160818,1171000000
20160819,356000000
20160822,-92000000
20160823,176000000
20160824,226000000
20160825,338000000
20160826,197000000
20160829,-34000000
20160830,903000000
20160831,280000000
20160901,119000000
20160902,-184000000
20160905,1471000000
20160906,879000000
20160907,484000000
20160908,953000000
20160909,-350000000
20160912,-2579000000
20160913,-338000000
20160914,-1168000000
20160919,-826000000
20160920,-852000000
20160921,-255000000
20160922,1043000000
20160923,548000000
20160926,-378000000
20160927,-336000000
20160928,-164000000
20160929,563000000
20161011,975000000
20161012,-575000000
20161013,-531000000
20161014,939000000
20161017,-175000000
20161018,651000000
20161019,391000000
20161020,367000000
20161024,756000000
20161025,915000000
20161026,234000000
20161027,-577000000
20161028,243000000
20161031,144000000
20161101,408000000
20161102,-978000000
20161103,-403000000
20161104,-187000000
20161107,72000000
20161108,321000000
20161109,-4041000000
20161110,1539000000
20161111,-666000000
20161114,-200000000
20161115,11000000
20161116,699000000
20161117,-28000000
20161118,-65000000
20161121,113000000
20161122,1325000000
20161123,1130000000
20161124,885000000
20161125,1710000000
20161128,1396000000
20161129,986000000
20161130,1102000000
20161201,942000000
20161202,-1539000000
20161205,1171000000
20161206,1361000000
20161207,1818000000
20161208,2276000000
20161209,-59000000
20161212,939000000
20161213,1525000000
20161214,894000000
20161215,458000000
20161216,1140000000
20161219,-640000000
20161220,-2555000000
20161221,153000000
20161222,-524000000
20161228,-542000000
20161229,-122000000
20161230,-81000000
20170103,-57000000
20170104,-829000000
20170105,-392000000
20170106,-1570000000
20170109,-65000000
20170110,254000000
20170111,1686000000
20170112,1229000000
20170113,1206000000
20170116,-809000000
20170117,1054000000
20170118,1391000000
20170119,1064000000
20170120,1678000000
20170123,1399000000
20170124,1365000000
20170125,175000000
20170126,861000000
20170203,1309000000
20170206,2776000000
20170207,1633000000
20170208,1219000000
20170209,1873000000
20170210,1621000000
20170213,1698000000
20170214,1346000000
20170215,2308000000
20170216,1866000000
20170217,1220000000
